* glass shattering sound *	[ErrorDetector~raw]
*Not recommended\nif you're scared\nof heights	[TMPro.TextMeshPro]
*Restrictions apply	[TMPro.TextMeshPro]
\nSupportive unit. Fodder.	[MainMenuManager]
- A bizzare water-dwelling insect creature.\n- Slim, flexible, and fragile body, evolved with gills, natural sand camouflage, and highly adaptive black eyes.\n- Their gils keep them comfortable in water, allowing for lengthy travel and water combat.\n- With a simple mind, they keep clear-headed, making them efficient and quick thinkers with guns and combat.\n- Nothing goes on in their head, much. Utterly unable to empathize or make connections. Driven purely by hunger.\n- They'll do anything to keep themselves fed, including cannibalism and traitorism.\n- Being socially disconnected and mentally stunted, they never reach high ranks, despite great skill.\n- Insectoid.\n\n\nHigh level skill ; High level threat.\nDo not treat lightly.	[MainMenuManager]
- A crystaline-scaled horned lizard.\n- Very average in combat capabilities. Comparable to an Experiment.\n- Their large brutish hands make them clumsy with weaponry.\n- Their lengthy tongue is incredibly strong and sticky. Made to catch insects.\n- Naturally feminine in physique, with unique crystal-like growths all over.\n- Though they put on a tough and protective facade, deep down they are gentle hearted.\n- Considerably dense-minded... May brush off orders or rebel.\n- Reptile.\n\n\nWatch for their tongue.\nDangerous at close range.	[MainMenuManager]
- A shark hybrid, but not sure what type of shark exactly.\n- Having an aquatic body, they have fins, rubbery skin, and a large tail geared for swimming.\n- With gills and great aquatic senses, they cannot drown, and flourish underwater.\n- Their aquatic-built physique grants them natural strength and endurance. Handy.\n- Though, they are unfit for land, and are somewhat sluggish. That big tail is very cumbersome...\n- Incredibly kind, gentle, never judging and only having empathy for others, they are truly the best friend one can have.\n- Or are they?\n- Hybrid Selachii.\n\nBeware of them in water.\nFound around water as well.	[MainMenuManager]
- A strange feminine spider-like creature.\n- Large in size, wide-shouldered, and heavyhanded, though sluggish as a result.\n- 4 large legs grow from their back, all lacking practical use besides inspiring fear.\n- Can projectile-launch a dense cobweb from the mouth to immobilize targets and prepare meals.\n- They use their motherly voice and welcoming facade to lure others... to their horrible deaths.\n- Velvet's are extremely unempathetic and sadistic, using combat to fulfill cannibalistic desires. Terrifying.\n- Although psychotic, they have a considerably average intelligence, and remain calm in combat.\n- Arachnid.\n\nIf spat on, hold your ground.\nBeware their endurance.	[MainMenuManager]
- A towering, and terrifying kind of Goat people\n- An absolute wall of meat and muscle. Incredible durability and frightening strength, at the expense of poor regenerative abilities from bad metabolism.\n- Despite stature, they are very formal and gentle, with endearing social behavior.\n- Highly protective of their kind, and fearless in combat. With great care for their people, they often sacrifice themselves.\n- As their name suggests, they often corral and lead others with great moral and enthusiasm.\n- Bovidae.\n\n\nUse heavy weapons, and gain distance.\nHit them first, and hit them hard.	[MainMenuManager]
- An agile, aggressive rabbit-man.\n- With a very powerful lower body, they use their agility for complex movement and striking powerful kicks.\n- Their upper body is weak to their many falls and tumbles. Their well-worn bandages are evident of this.\n- Injuries enrage Ickes, the closer to death they are. Their blood is overloaded with Adrenaline.\n- Their considerably lower intelligence leads them to overestimate themselves, and to act before thinking.\n- Selfish, inconsiderate, and aggressive, Ickes are at least a bully to peers, and at most a genuine liability to leadership.\n- Asshole.\n- Leporidae.\n\n\nThey will rush you.\nSet an ambush.	[MainMenuManager]
- An elusive and beautiful species of moth people.\n- Using their tail and wing-like appendages, they can jump multiple times in the air and glide safely in falls.\n- They strive in the air and the dark, having enhanced aim-speed and agility after jumping. Their antennae provides enhanced senses.\n- Naturally slender, delicate, and even beautiful. Their body is flexible and their hands precise... but fragile in return.\n- Considerably intelligent and mentally capable of tactics and complex thought. Overshadowed by a...\n-...sly, serious, and at times, mean personality. Often self-centered. They mess with people sometimes. Unempathetic.\n- Insectoid\n\n\nWatch the skies.\nPredict aerial ambushes.	[MainMenuManager]
- An unusually colored feline creature.\n- Good weapon handling and light-footed, but somewhat frail.\n- Typically carries a cloaking device to hide/sneak up on potential targets.\n- Quite intelligent, almost as much as a milky. They'd be leaders too, if they weren't...\n- Arrogant, disrespectful, egotistical. Not the nicest, to say the least.\n- Extremely biased against other species, the pricks. Narcicissm, probably.\n- They respect a good fighter, at least. They'll respect that much.\n\n\nArrogant assholes.\nHelpful tech, though.	[MainMenuManager]
- Reminiscent of an experiment in some ways, messed up in others.\n- While born with four arms, many cut off two to reduce workload on the mind.\n- Large claws, thick enough to tear into flesh. Animalistic in both social behavior and physical attributes.\n- Bulkier than most, along with being quite tall and brutish. Clumsy and large.\n- Mentally slow. Tend to be too brave and naive for their own good. Sweet at heart.\n- Good at taking commands, and highly loyal, despite apparent stupidity.\n- Canine.\n\n\nSlow and stupid brute.\nDangerously tough. Resilient.	[MainMenuManager]
- Reminiscent of an experiment in some ways, messed up in some others.\n- Born with four arms, but many cut off two to reduce workload on the mind.\n- Large claws, enough to tear into flesh.\n- Bulkier than most, along with being quite tall and brutish.\n- Not the smartest. Tend to be too brave and naive for their own good.\n- Rather kindly, though clumsy.\n- Canine.\n\n\nSlow and stupid.\nTough, though. Resilient.	[TMPro.TextMeshProUGUI]
- Some kind of aquatic experiment? Unsure on that.\n- Excellent sleight of hand. Nimble and efficient with precise and calculated movement.\n- Their unnatural dark eyes are vulnerable to the sky's changing colors. Wonder what causes that, actually...\n- Weaker and frail, with a short stature and low weight. Even when physically overshadowed, their presence is respected and feared among peers.\n- Strict and firm, yet respectful and fair. Logical thinkers, and fearsome tactical fighters.\n- Emotionally awkward and close-minded, preferring to keep a professional mindset and personality.\n- Canine.\n\n\nGood marksmen.\nUsually have the best guns.	[MainMenuManager]
- Some sort of glowing, radiant scorpion creature.\n- Protected by large, hard and heavy shells and scales. Oddly feminine, despite their threatening armored appearance.\n- Their exoskeleton provides cushioning for falls, protection from flames, and other dangers.\n- They lack a digestive system, as their body is fueled by absorbing radiation present in the air.\n- Due to this, they lack a mouth, and are therefore mute.\n- They're surprisingly calm and level-headed, with pleasant social behavior and high intelligence, despite the lack of mouth.\n- Arachnid.\n\n\nNo easy way around them.\nExcessive force required.	[MainMenuManager]
- Some sort of strange plant-like species.\n- One of the lightest and fastest known species on land, able to infinitely roll-pounce and easily scale terrain.\n- Plantigrade legs, rather than digitigrade. This doesn't hinder them whatsoever.\n- They are hyper-regenerative, with a powerful and instant metabolism. Dangerous in combat!\n- Competent at one-on-one combat and gun usage, but tactically braindead. They often just run in... blind.\n- Egotistical and arrogant show-offs, acting cocky and dangerous for attention and fun.\n- They often roughhouse with others and make terrible jokes. Despite their behavior, they have no real malice.\n- Plant-Canine Hybrid\n\nGlass cannon.\nGood to get a job done quick.	[MainMenuManager]
