Crash Site	[MusicClip]
Crate damage	[LevelPartGame]
Crate spawner	[LevelPartGame]
Crates rarely drop weapons. Don't waste all your time breaking them.	[SceneLoader~raw]
Crates sometimes drop weapons,\nbut you should not waste\nhalf your time breaking every crate in sight.	[TMPro.TextMeshPro]
Crouch to eat and heal\nLow HP regen	[BodyScript]
Crouch to reduce recoil and aimpunch.	[SceneLoader~raw]
Crouching reduces recoil,\nspread and aimpunch.	[TMPro.TextMeshPro]
Crush Forces	[MissionSelect]
Crushed into a million pieces	[ErrorDetector~raw]
CTRL+D to duplicate objects\nARROWS to move precisely\n<i>B</i> to toggle background edit mode\nL to toggle lighting\nALT to disable grid while dragging\nK to skip music track	[TMPro.TextMeshProUGUI]
CTRL/LMB\nto spit out web	[BodyScript]
Currently selected	[TMPro.TextMeshProUGUI]
Curved pipe	[LevelPartGame]
Cycle time (X)	[LevelPartGame]
Cycle trigger	[LevelPartGame]
Damage ratio: 100%	[TMPro.TextMeshProUGUI]
Damages bodies, destroys most things that fall into it	[LevelPartGame]
Dark crate	[LevelPartGame]
Dealing damage fills up your focus\nmeter (bottom right corner)\n\nPress Q to enter slowmotion, using focus.\n(TEMPORARY: MIGHT CHANGE)	[TMPro.TextMeshPro]
Dealing damage fills up your FOCUS meter.\nPress Q to use focus (lower right corner),\nand activate slow-motion.	[TMPro.TextMeshPro]
Dear traveler!\nIf you're reading this:\n\nYou're going to drown.\nDummy.	[TMPro.TextMeshPro]
Death has Come to Your Sleepy Town	[MusicClip]
Death zone	[LevelPartGame]
DEBUG BONUS LEVEL! Infiltrate an active factory. A test level for new object types and decor	[MissionSelect]
DEBUG BONUS LEVEL! The first level ever made for the game\nVery hard and unfair, contains all the species	[MissionSelect]
Default Style Sheet	[TMPro.TMP_StyleSheet]
Delay (X)	[LevelPartGame]
