New Beginnings	[MusicClip]
New character unlocked!\n<alpha=#66><i><size=70%>Check out the character select in the main menu.	[TMPro.TextMeshProUGUI]
New Text	[UnityEngine.UI.Text]
Nightly Scavenge	[MissionSelect]
Non-alert enemies can't see you behind them.	[SceneLoader~raw]
Nothing here.	[TMPro.TextMeshPro]
Noticeability: 100%	[TMPro.TextMeshProUGUI]
Number (X)	[LevelPartGame]
Oh no!... Our game... It's broken!	[ErrorDetector~raw]
Oh teh noes!	[ErrorDetector~raw]
Old rifle	[WeaponPreset]
One way platform	[LevelPartGame]
Oopsie daisy	[ErrorDetector~raw]
open desert level	[MissionSelect]
Ouchies! That hurt.\nHold S while hitting the ground\nfrom heights to roll.	[TMPro.TextMeshPro]
Our crusade for territory is far from over and we have recently obtained intel of a peculiar set of towers... of course, captured by our enemy.\nYou will need to go through these towers and clear them out for capture, revaluation and renovation, but beware.\nThe structure of the towers don't follow the standard building structures, in fact, they're highly irregular.\nWhat is inside those towers and how they were made, is both a mystery to us, and something to be careful about.\nStay careful and observant and watch where you move, and who you fight.\nThis is the beginning of the corporate war, and we will not be stomped out.\nGood luck.\n- Y	[MissionSelect]
Oxygen-less zone	[LevelPartGame]
Paper note	[LevelPartGame]
Pile of steel\nMissing soul	[BodyScript]
Pistols are effective at all ranges.\nSMG's and Shotguns are\nvery effective at close range.	[TMPro.TextMeshPro]
Pixel Operator	[TMPro.TMP_FontAsset]
Place over a friendly enemy to make them follow you	[LevelPartGame]
Player spawn point	[LevelPartGame]
Playtest level	[TMPro.TextMeshProUGUI]
PLEASE STOP\nFALLING HERE	[TMPro.TextMeshPro]
Points to the level exit trigger	[LevelPartGame]
pooed our pants.	[ErrorDetector~raw]
PostProcess Profile	[UnityEngine.Rendering.VolumeProfile]
