Tough and sluggish	[BodyScript]
Tough and sluggish\na	[TMPro.TextMeshPro]
Trash Containment	[MissionSelect]
Trench Sweeper	[WeaponPreset]
Tripped and fell!	[ErrorDetector~raw]
Turbo Cop	[MusicClip]
Unconscious enemies drop their weapons. Don't let them pick them back up!	[SceneLoader~raw]
Unhandled exception	[ErrorDetector~raw]
UnityEngine.GameObject, UnityEngine	[UnityEngine.UI.Button]
UnityEngine.Object, UnityEngine	[TMPro.TMP_InputField,UnityEngine.UI.Button,UnityEngine.UI.Slider,UnityEngine.UI.Toggle]
UnityEngine.Rendering.DebugUI+BitField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+BoolField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+Button, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+ColorField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+Container, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+EnumField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+FloatField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+Foldout, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+HBox, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+HistoryBoolField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+HistoryEnumField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+IntField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+Table+Row, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+Table, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+UIntField, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+Value, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+VBox, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
UnityEngine.Rendering.DebugUI+Vector2Field, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	[UnityEngine.Rendering.UI.DebugUIHandlerCanvas]
