Your character slows down greatly when close to drowning.	[SceneLoader~raw]
#0051ff	[LevelPartGame]
(A)	[TMPro.TextMeshProUGUI]
(D)	[TMPro.TextMeshProUGUI]
*</size></b></color>	[TMPro.TMP_StyleSheet]
-HP/s	[LevelPartGame]
.notdef	[TMPro.TMP_SpriteAsset]
1f601	[TMPro.TMP_SpriteAsset]
1f603	[TMPro.TMP_SpriteAsset]
1f604	[TMPro.TMP_SpriteAsset]
1f605	[TMPro.TMP_SpriteAsset]
1f606	[TMPro.TMP_SpriteAsset]
1f609	[TMPro.TMP_SpriteAsset]
1f60b	[TMPro.TMP_SpriteAsset]
1f60d	[TMPro.TMP_SpriteAsset]
1f60e	[TMPro.TMP_SpriteAsset]
1f618	[TMPro.TMP_SpriteAsset]
1f923	[TMPro.TMP_SpriteAsset]
263a	[TMPro.TMP_SpriteAsset]
50MillionYearTrip	[MusicClip]
60FPS	[TMPro.TextMeshProUGUI]
66abad85c8f3cfb4691acbf5701a862f	[TMPro.TMP_FontAsset]
7a2569b626fc459418419358f3cdd316	[TMPro.TMP_FontAsset]
87.4s	[TMPro.TextMeshProUGUI]
8f586378b4e144a9851e7b34d9b748ee	[TMPro.TMP_FontAsset]
9896ac24714a02a45819948e8a6bcaa3	[TMPro.TMP_FontAsset]
</color>	[TMPro.TMP_StyleSheet]
</color></b>	[TMPro.TMP_StyleSheet]
